country_id,product,product_code,flow,unit,year,value
Albania,pulpwood,11,EXPORTS,1000 m.t.,2013,0.01
Albania,roundwood,14,EXPORTS,1000 m3,2013,88.37
Albania,sawnwood,16,EXPORTS,1000 m3,2013,35.17
Albania,wood fuel,21,EXPORTS,1000 m3,2013,75.9
Armenia,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Armenia,roundwood,14,EXPORTS,1000 m3,2013,0.0
Armenia,sawnwood,16,EXPORTS,1000 m3,2013,0.42
Armenia,wood fuel,21,EXPORTS,1000 m3,2013,0.0
Austria,pulpwood,11,EXPORTS,1000 m.t.,2013,435.88
Austria,roundwood,14,EXPORTS,1000 m3,2013,4074.1
Austria,sawnwood,16,EXPORTS,1000 m3,2013,15375.74
Austria,wood fuel,21,EXPORTS,1000 m3,2013,58.25
Azerbaijan,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Azerbaijan,roundwood,14,EXPORTS,1000 m3,2013,0.01
Azerbaijan,sawnwood,16,EXPORTS,1000 m3,2013,2.26
Azerbaijan,wood fuel,21,EXPORTS,1000 m3,2013,0.0
Belarus,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Belarus,roundwood,14,EXPORTS,1000 m3,2013,12081.54
Belarus,sawnwood,16,EXPORTS,1000 m3,2013,2893.7000000000003
Belarus,wood fuel,21,EXPORTS,1000 m3,2013,40.64
Belgium,pulpwood,11,EXPORTS,1000 m.t.,2013,843.97
Belgium,roundwood,14,EXPORTS,1000 m3,2013,5674.86
Belgium,sawnwood,16,EXPORTS,1000 m3,2013,3818.32
Belgium,wood fuel,21,EXPORTS,1000 m3,2013,25.4
Bosnia and Herzegovina,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Bosnia and Herzegovina,roundwood,14,EXPORTS,1000 m3,2013,1258.21
Bosnia and Herzegovina,sawnwood,16,EXPORTS,1000 m3,2013,1785.51
Bosnia and Herzegovina,wood fuel,21,EXPORTS,1000 m3,2013,707.0
Bulgaria,pulpwood,11,EXPORTS,1000 m.t.,2013,107.18
Bulgaria,roundwood,14,EXPORTS,1000 m3,2013,1780.0
Bulgaria,sawnwood,16,EXPORTS,1000 m3,2013,1004.5
Bulgaria,wood fuel,21,EXPORTS,1000 m3,2013,372.74
Canada,pulpwood,11,EXPORTS,1000 m.t.,2013,9822.31
Canada,roundwood,14,EXPORTS,1000 m3,2013,34823.47
Canada,sawnwood,16,EXPORTS,1000 m3,2013,84002.68000000001
Canada,wood fuel,21,EXPORTS,1000 m3,2013,38.73
Croatia,pulpwood,11,EXPORTS,1000 m.t.,2013,39.71
Croatia,roundwood,14,EXPORTS,1000 m3,2013,3103.35
Croatia,sawnwood,16,EXPORTS,1000 m3,2013,2653.9300000000003
Croatia,wood fuel,21,EXPORTS,1000 m3,2013,707.84
Cyprus,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Cyprus,roundwood,14,EXPORTS,1000 m3,2013,0.0
Cyprus,sawnwood,16,EXPORTS,1000 m3,2013,0.0
Cyprus,wood fuel,21,EXPORTS,1000 m3,2013,0.0
Czechia,pulpwood,11,EXPORTS,1000 m.t.,2013,405.87
Czechia,roundwood,14,EXPORTS,1000 m3,2013,21657.49
Czechia,sawnwood,16,EXPORTS,1000 m3,2013,6920.42
Czechia,wood fuel,21,EXPORTS,1000 m3,2013,172.0
Denmark,pulpwood,11,EXPORTS,1000 m.t.,2013,12.62
Denmark,roundwood,14,EXPORTS,1000 m3,2013,3362.11
Denmark,sawnwood,16,EXPORTS,1000 m3,2013,445.21
Denmark,wood fuel,21,EXPORTS,1000 m3,2013,113.14
Estonia,pulpwood,11,EXPORTS,1000 m.t.,2013,138.01
Estonia,roundwood,14,EXPORTS,1000 m3,2013,13846.94
Estonia,sawnwood,16,EXPORTS,1000 m3,2013,2354.14
Estonia,wood fuel,21,EXPORTS,1000 m3,2013,333.6
Finland,pulpwood,11,EXPORTS,1000 m.t.,2013,3073.49
Finland,roundwood,14,EXPORTS,1000 m3,2013,3990.19
Finland,sawnwood,16,EXPORTS,1000 m3,2013,21445.95
Finland,wood fuel,21,EXPORTS,1000 m3,2013,109.2
France,pulpwood,11,EXPORTS,1000 m.t.,2013,481.83
France,roundwood,14,EXPORTS,1000 m3,2013,23787.79
France,sawnwood,16,EXPORTS,1000 m3,2013,2765.36
France,wood fuel,21,EXPORTS,1000 m3,2013,750.46
Georgia,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Georgia,roundwood,14,EXPORTS,1000 m3,2013,0.0
Georgia,sawnwood,16,EXPORTS,1000 m3,2013,106.6
Georgia,wood fuel,21,EXPORTS,1000 m3,2013,0.0
Germany,pulpwood,11,EXPORTS,1000 m.t.,2013,1272.0
Germany,roundwood,14,EXPORTS,1000 m3,2013,16604.49
Germany,sawnwood,16,EXPORTS,1000 m3,2013,18759.67
Germany,wood fuel,21,EXPORTS,1000 m3,2013,117.73
Greece,pulpwood,11,EXPORTS,1000 m.t.,2013,7.15
Greece,roundwood,14,EXPORTS,1000 m3,2013,100.53
Greece,sawnwood,16,EXPORTS,1000 m3,2013,41.38
Greece,wood fuel,21,EXPORTS,1000 m3,2013,4.86
Hungary,pulpwood,11,EXPORTS,1000 m.t.,2013,4.55
Hungary,roundwood,14,EXPORTS,1000 m3,2013,5099.23
Hungary,sawnwood,16,EXPORTS,1000 m3,2013,742.27
Hungary,wood fuel,21,EXPORTS,1000 m3,2013,323.01
Iceland,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Iceland,roundwood,14,EXPORTS,1000 m3,2013,0.01
Iceland,sawnwood,16,EXPORTS,1000 m3,2013,0.41
Iceland,wood fuel,21,EXPORTS,1000 m3,2013,0.01
Ireland,pulpwood,11,EXPORTS,1000 m.t.,2013,0.16
Ireland,roundwood,14,EXPORTS,1000 m3,2013,1430.36
Ireland,sawnwood,16,EXPORTS,1000 m3,2013,1203.32
Ireland,wood fuel,21,EXPORTS,1000 m3,2013,0.27
Israel,pulpwood,11,EXPORTS,1000 m.t.,2013,0.0
Israel,roundwood,14,EXPORTS,1000 m3,2013,3.24
