country_id,product,product_code,flow,unit,year,value
Albania,engineered wood products,4,IMPORTS,1000 US$,2007,15888.029999999999
Albania,engineered wood products,4,IMPORTS,1000 m3,2007,140.80999999999997
Albania,engineered wood products,4,PRODUCTION,1000 m3,2007,12.0
Albania,"paper,print and packaging",8,EXPORTS,1000 m.t.,2007,0.08
Albania,"paper,print and packaging",8,IMPORTS,1000 m.t.,2007,20.63
Albania,pulpwood,11,IMPORTS,1000 m.t.,2007,4.3
Albania,roundwood,14,EXPORTS,1000 US$,2007,1750.4599999999998
Albania,roundwood,14,EXPORTS,1000 m3,2007,58.589999999999996
Albania,roundwood,14,IMPORTS,1000 US$,2007,343.42
Albania,roundwood,14,IMPORTS,1000 m3,2007,2.9499999999999997
Albania,roundwood,14,REMOVALS,1000 m3,2007,1149.97
Albania,sawlogs and veneer logs,15,REMOVALS,1000 m3,2007,29.990000000000002
Albania,sawnwood,16,EXPORTS,1000 US$,2007,12044.33
Albania,sawnwood,16,EXPORTS,1000 m3,2007,65.48
Albania,sawnwood,16,IMPORTS,1000 US$,2007,11551.57
Albania,sawnwood,16,IMPORTS,1000 m3,2007,65.75
Albania,sawnwood,16,PRODUCTION,1000 m3,2007,16.0
Albania,veneer sheets,19,IMPORTS,1000 US$,2007,787.47
Albania,veneer sheets,19,IMPORTS,1000 m3,2007,0.8
Albania,wood charcoal,20,EXPORTS,1000 US$,2007,1005.87
Albania,wood charcoal,20,EXPORTS,1000 m.t.,2007,4.0
Albania,wood charcoal,20,PRODUCTION,1000 m.t.,2007,60.0
Albania,wood fuel,21,EXPORTS,1000 US$,2007,1053.76
Albania,wood fuel,21,EXPORTS,1000 m3,2007,56.3
Albania,wood fuel,21,REMOVALS,1000 m3,2007,700.0
Albania,"wood residue, chips and particles",23,EXPORTS,1000 US$,2007,194.0
Albania,"wood residue, chips and particles",23,EXPORTS,1000 m3,2007,7.8
Albania,"wood residue, chips and particles",23,PRODUCTION,1000 m3,2007,10.0
Albania,wood-based panels,24,IMPORTS,1000 US$,2007,22791.17
Albania,wood-based panels,24,IMPORTS,1000 m3,2007,223.37
Albania,wood-based panels,24,PRODUCTION,1000 m3,2007,22.0
Albania,woodpulp,27,IMPORTS,1000 m.t.,2007,12.9
Armenia,"articles, moulded or pressed from pulp",0,IMPORTS,1000 US$,2007,260.7
Armenia,builder's joinery and carpentry of wood,1,EXPORTS,1000 US$,2007,7.8
Armenia,builder's joinery and carpentry of wood,1,IMPORTS,1000 US$,2007,2906.9
Armenia,case materials,2,IMPORTS,1000 US$,2007,4276.63
Armenia,case materials,2,IMPORTS,1000 m.t.,2007,5.06
Armenia,case materials,2,PRODUCTION,1000 m.t.,2007,13.18
Armenia,domestic/decorative products,3,EXPORTS,1000 US$,2007,33.9
Armenia,domestic/decorative products,3,IMPORTS,1000 US$,2007,199.9
Armenia,engineered wood products,4,IMPORTS,1000 US$,2007,23544.739999999998
Armenia,engineered wood products,4,IMPORTS,1000 m3,2007,72.44
Armenia,engineered wood products,4,PRODUCTION,1000 m3,2007,20.58
Armenia,non-wood pulp,5,IMPORTS,1000 US$,2007,0.26
Armenia,other manufactured wood products,6,EXPORTS,1000 US$,2007,4.5
Armenia,other manufactured wood products,6,IMPORTS,1000 US$,2007,344.5
Armenia,other pulp,7,IMPORTS,1000 US$,2007,2.1
Armenia,"paper,print and packaging",8,EXPORTS,1000 US$,2007,11009.58
Armenia,"paper,print and packaging",8,EXPORTS,1000 m.t.,2007,0.11
Armenia,"paper,print and packaging",8,IMPORTS,1000 US$,2007,151549.54
Armenia,"paper,print and packaging",8,IMPORTS,1000 m.t.,2007,77.6
Armenia,"paper,print and packaging",8,PRODUCTION,1000 m.t.,2007,92.22
Armenia,prefabricated buildings (discontinued 2017),9,IMPORTS,1000 US$,2007,2252.4
Armenia,prefabricated buildings of wood,10,IMPORTS,1000 US$,2007,72.7
Armenia,pulpwood,11,IMPORTS,1000 US$,2007,92.05
Armenia,pulpwood,11,IMPORTS,1000 m.t.,2007,0.08
Armenia,recovered fibre pulp,12,IMPORTS,1000 US$,2007,1.83
Armenia,roundwood,14,EXPORTS,1000 US$,2007,1924.49
Armenia,roundwood,14,EXPORTS,1000 m3,2007,13.22
Armenia,roundwood,14,IMPORTS,1000 US$,2007,1027.47
Armenia,roundwood,14,IMPORTS,1000 m3,2007,6.07
Armenia,roundwood,14,REMOVALS,1000 m3,2007,104.0
Armenia,sawlogs and veneer logs,15,REMOVALS,1000 m3,2007,12.0
Armenia,sawnwood,16,EXPORTS,1000 US$,2007,373.84
Armenia,sawnwood,16,EXPORTS,1000 m3,2007,0.7
Armenia,sawnwood,16,IMPORTS,1000 US$,2007,25570.510000000002
Armenia,sawnwood,16,IMPORTS,1000 m3,2007,125.57000000000001
Armenia,sawnwood,16,PRODUCTION,1000 m3,2007,1.8
Armenia,secondary processed wooden products,17,EXPORTS,1000 US$,2007,108.19
Armenia,secondary processed wooden products,17,IMPORTS,1000 US$,2007,17357.0
Armenia,veneer sheets,19,EXPORTS,1000 US$,2007,99.75
Armenia,veneer sheets,19,EXPORTS,1000 m3,2007,0.15000000000000002
Armenia,veneer sheets,19,IMPORTS,1000 US$,2007,15.27
Armenia,wood charcoal,20,IMPORTS,1000 US$,2007,0.37
Armenia,wood fuel,21,REMOVALS,1000 m3,2007,80.0
Armenia,"wood residue, chips and particles",23,IMPORTS,1000 US$,2007,89.08
Armenia,"wood residue, chips and particles",23,IMPORTS,1000 m3,2007,0.22
Armenia,wood-based panels,24,EXPORTS,1000 US$,2007,33.25
Armenia,wood-based panels,24,EXPORTS,1000 m3,2007,0.05
Armenia,wood-based panels,24,IMPORTS,1000 US$,2007,36059.600000000006
Armenia,wood-based panels,24,IMPORTS,1000 m3,2007,116.17
Armenia,wood-based panels,24,PRODUCTION,1000 m3,2007,20.58
Armenia,wooden furniture,25,EXPORTS,1000 US$,2007,61.1
Armenia,wooden furniture,25,IMPORTS,1000 US$,2007,13225.2
Armenia,wooden wrapping and packing equipment,26,EXPORTS,1000 US$,2007,0.6
Armenia,wooden wrapping and packing equipment,26,IMPORTS,1000 US$,2007,486.3
Armenia,woodpulp,27,IMPORTS,1000 US$,2007,276.13
Armenia,woodpulp,27,IMPORTS,1000 m.t.,2007,0.24
Austria,"articles, moulded or pressed from pulp",0,EXPORTS,1000 US$,2007,837.37
Austria,"articles, moulded or pressed from pulp",0,IMPORTS,1000 US$,2007,9376.96
Austria,builder's joinery and carpentry of wood,1,EXPORTS,1000 US$,2007,1431899.8
Austria,builder's joinery and carpentry of wood,1,IMPORTS,1000 US$,2007,329872.5
Austria,case materials,2,EXPORTS,1000 US$,2007,455607.65
Austria,case materials,2,EXPORTS,1000 m.t.,2007,760.35
Austria,case materials,2,IMPORTS,1000 US$,2007,186462.01
Austria,case materials,2,IMPORTS,1000 m.t.,2007,258.0
Austria,case materials,2,PRODUCTION,1000 m.t.,2007,1094.0
Austria,domestic/decorative products,3,EXPORTS,1000 US$,2007,20499.93
Austria,domestic/decorative products,3,IMPORTS,1000 US$,2007,39917.18
Austria,engineered wood products,4,EXPORTS,1000 US$,2007,2372127.19
Austria,engineered wood products,4,EXPORTS,1000 m3,2007,4281.0
Austria,engineered wood products,4,IMPORTS,1000 US$,2007,657813.92
Austria,engineered wood products,4,IMPORTS,1000 m3,2007,1166.0
Austria,engineered wood products,4,PRODUCTION,1000 m3,2007,4918.4
Austria,non-wood pulp,5,EXPORTS,1000 US$,2007,13044.41
