country_id,product,flow,year,ratio
Albania,engineered wood products,IMPORTS,2007,112.83
Albania,engineered wood products,IMPORTS,2008,244.96
Albania,engineered wood products,IMPORTS,2009,217.07
Albania,engineered wood products,IMPORTS,2010,204.39
Albania,engineered wood products,IMPORTS,2011,203.54
Albania,engineered wood products,IMPORTS,2012,200.28
Albania,engineered wood products,EXPORTS,2012,201.25
Albania,engineered wood products,IMPORTS,2013,200.26
Albania,engineered wood products,EXPORTS,2013,207.37
Albania,engineered wood products,IMPORTS,2014,200.7
Albania,engineered wood products,EXPORTS,2014,201.25
Albania,engineered wood products,IMPORTS,2015,200.7
Albania,engineered wood products,EXPORTS,2015,201.25
Albania,engineered wood products,IMPORTS,2016,200.7
Albania,engineered wood products,EXPORTS,2016,201.25
Albania,engineered wood products,IMPORTS,2017,220.27
Albania,engineered wood products,IMPORTS,2018,614.29
Albania,engineered wood products,EXPORTS,2018,308.86
Albania,engineered wood products,IMPORTS,2019,689.74
Albania,engineered wood products,EXPORTS,2019,2950.77
Albania,engineered wood products,IMPORTS,2020,536.91
Albania,engineered wood products,EXPORTS,2020,982.04
Albania,engineered wood products,IMPORTS,2021,890.87
Albania,engineered wood products,EXPORTS,2021,862.12
Albania,"paper,print and packaging",IMPORTS,2009,3742.11
Albania,"paper,print and packaging",IMPORTS,2010,3331.58
Albania,"paper,print and packaging",IMPORTS,2011,2708.92
Albania,"paper,print and packaging",EXPORTS,2011,5145.48
Albania,"paper,print and packaging",IMPORTS,2012,2749.64
Albania,"paper,print and packaging",EXPORTS,2012,5700.48
Albania,"paper,print and packaging",IMPORTS,2013,2497.65
Albania,"paper,print and packaging",EXPORTS,2013,3750.88
Albania,"paper,print and packaging",IMPORTS,2014,2499.15
Albania,"paper,print and packaging",EXPORTS,2014,3006.21
Albania,"paper,print and packaging",IMPORTS,2015,2499.14
Albania,"paper,print and packaging",EXPORTS,2015,2783.24
Albania,"paper,print and packaging",IMPORTS,2016,2497.4
Albania,"paper,print and packaging",EXPORTS,2016,2406.5
Albania,"paper,print and packaging",IMPORTS,2017,2255.85
Albania,"paper,print and packaging",EXPORTS,2017,4991.59
Albania,"paper,print and packaging",IMPORTS,2018,1726.44
Albania,"paper,print and packaging",EXPORTS,2018,6720.53
Albania,"paper,print and packaging",IMPORTS,2019,1668.93
Albania,"paper,print and packaging",EXPORTS,2019,8387.76
Albania,"paper,print and packaging",IMPORTS,2020,1631.23
Albania,"paper,print and packaging",EXPORTS,2020,646.33
Albania,"paper,print and packaging",IMPORTS,2021,3809.55
Albania,"paper,print and packaging",EXPORTS,2021,10450.11
Albania,pulpwood,IMPORTS,2011,111.79
Albania,pulpwood,IMPORTS,2012,72.73
Albania,pulpwood,EXPORTS,2012,1700.0
Albania,pulpwood,IMPORTS,2013,72.9
Albania,pulpwood,EXPORTS,2013,1700.0
Albania,pulpwood,IMPORTS,2014,72.9
Albania,pulpwood,EXPORTS,2014,1700.0
Albania,pulpwood,IMPORTS,2015,72.9
Albania,pulpwood,EXPORTS,2015,1700.0
Albania,pulpwood,IMPORTS,2016,72.9
Albania,pulpwood,EXPORTS,2016,1700.0
Albania,pulpwood,IMPORTS,2018,2144.67
Albania,pulpwood,IMPORTS,2019,2322.5
Albania,pulpwood,IMPORTS,2020,3057.0
Albania,pulpwood,IMPORTS,2021,2377.67
Albania,roundwood,IMPORTS,2007,116.41
Albania,roundwood,EXPORTS,2007,29.88
