country_code,country_id,product,product_code,flow,unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
8,Albania,roundwood,14,EXPORTS,1000 m3,56.76,56.76,56.76,56.76,15.91,78.9,78.9,78.9,78.9,78.9,26.67,15.35,14.02,11.8,14.26
8,Albania,roundwood,14,EXPORTS,1000 US$,1193.11,1193.11,1193.11,1193.11,5064.0,3830.0,3830.0,3830.0,3830.0,3830.0,1676.93,1907.49,1804.94,1692.82,2214.79
8,Albania,roundwood,14,IMPORTS,1000 m3,0.59,0.59,0.59,1.87,7.0,6.38,105.0,120.0,120.0,120.0,30.47,23.8,18.46,39.04,23.37
8,Albania,roundwood,14,IMPORTS,1000 US$,68.69,68.69,68.69,559.29,1079.0,743.0,3741.0,4686.0,4686.0,4686.0,1648.96,2325.06,1548.85,3807.8,2199.58
8,Albania,roundwood,14,REMOVALS,1000 m3,430.0,430.0,430.0,430.0,1180.0,1180.0,1180.01,1180.01,1180.01,1180.01,1230.01,905.34,917.84,874.45,1021.91
8,Albania,roundwood,14,EXPORTS,1000 m3,0.03,0.03,0.03,0.03,8.46,1.0,1.0,1.0,1.0,1.0,22.13,9.05,9.62,7.32,5.95
8,Albania,roundwood,14,EXPORTS,1000 US$,10.63,10.63,10.63,10.63,612.0,102.0,102.0,102.0,102.0,102.0,1363.13,1299.5,1243.79,1043.87,859.25
8,Albania,roundwood,14,IMPORTS,1000 m3,0.37,0.37,0.37,0.37,2.0,1.0,1.0,1.0,1.0,1.0,18.9,7.03,8.24,10.71,9.6
8,Albania,roundwood,14,IMPORTS,1000 US$,58.29,58.29,58.29,58.29,320.0,106.0,106.0,106.0,106.0,106.0,910.4,921.28,697.51,1147.74,846.64
8,Albania,roundwood,14,REMOVALS,1000 m3,30.66,30.66,30.66,30.66,30.66,30.66,30.67,30.67,30.67,30.67,80.67,58.8,73.3,48.05,80.39
8,Albania,roundwood,14,EXPORTS,1000 m3,0.43,0.43,0.43,0.43,0.0,2.0,2.0,2.0,2.0,2.0,4.54,6.3,4.4,4.47,8.3
8,Albania,roundwood,14,EXPORTS,1000 US$,128.71,128.71,128.71,128.71,4.0,153.0,153.0,153.0,153.0,153.0,313.79,607.99,561.14,648.95,1355.54
8,Albania,roundwood,14,IMPORTS,1000 m3,0.22,0.22,0.22,1.5,5.0,4.0,4.0,19.0,19.0,19.0,11.56,16.76,10.21,28.33,13.76
8,Albania,roundwood,14,IMPORTS,1000 US$,10.4,10.4,10.4,501.0,757.0,579.0,635.0,1580.0,1580.0,1580.0,738.55,1403.77,851.33,2660.06,1352.94
8,Albania,roundwood,14,REMOVALS,1000 m3,399.33,399.33,399.33,399.33,1149.33,1149.33,1149.33,1149.33,1149.33,1149.33,1149.33,846.54,844.54,826.4,941.51
8,Albania,wood fuel,21,EXPORTS,1000 m3,56.3,56.3,56.3,56.3,7.45,75.9,75.9,75.9,75.9,75.9,26.67,15.35,14.02,11.8,14.26
8,Albania,wood fuel,21,EXPORTS,1000 US$,1053.76,1053.76,1053.76,1053.76,4448.0,3575.0,3575.0,3575.0,3575.0,3575.0,1676.93,1907.49,1804.94,1692.82,2214.79
8,Albania,wood fuel,21,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,1.38,100.0,100.0,100.0,100.0,21.37,8.0,3.53,13.59,1.37
8,Albania,wood fuel,21,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,2.0,58.0,3000.0,3000.0,3000.0,3000.0,1030.03,1133.92,331.75,1202.78,274.25
8,Albania,wood fuel,21,REMOVALS,1000 m3,350.0,350.0,350.0,350.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,770.39,786.24,761.68,884.97
8,Albania,wood fuel,21,EXPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.13,9.05,9.62,7.32,5.95
8,Albania,wood fuel,21,EXPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.13,1299.5,1243.79,1043.87,859.25
8,Albania,wood fuel,21,IMPORTS,1000 m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96,5.32,2.57,0.87,0.0
8,Albania,wood fuel,21,IMPORTS,1000 US$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.77,754.8,245.88,136.44,0.0
