country_id,product,product_code,flow,unit,year,value
Albania,pulpwood,11,EXPORTS,1000 m.t.,2007,0.0
Albania,roundwood,14,EXPORTS,1000 m3,2007,58.589999999999996
Albania,sawnwood,16,EXPORTS,1000 m3,2007,65.48
Albania,wood fuel,21,EXPORTS,1000 m3,2007,56.3
Armenia,pulpwood,11,EXPORTS,1000 m.t.,2007,0.0
Armenia,roundwood,14,EXPORTS,1000 m3,2007,13.22
Armenia,sawnwood,16,EXPORTS,1000 m3,2007,0.7
Armenia,wood fuel,21,EXPORTS,1000 m3,2007,0.0
Austria,pulpwood,11,EXPORTS,1000 m.t.,2007,284.01
Austria,roundwood,14,EXPORTS,1000 m3,2007,4409.99
Austria,sawnwood,16,EXPORTS,1000 m3,2007,22999.78
Austria,wood fuel,21,EXPORTS,1000 m3,2007,45.0
Azerbaijan,pulpwood,11,EXPORTS,1000 m.t.,2007,0.0
Azerbaijan,roundwood,14,EXPORTS,1000 m3,2007,0.05
Azerbaijan,sawnwood,16,EXPORTS,1000 m3,2007,2.18
Azerbaijan,wood fuel,21,EXPORTS,1000 m3,2007,0.0
Belarus,pulpwood,11,EXPORTS,1000 m.t.,2007,0.1
Belarus,roundwood,14,EXPORTS,1000 m3,2007,7251.45
Belarus,sawnwood,16,EXPORTS,1000 m3,2007,3583.5
Belarus,wood fuel,21,EXPORTS,1000 m3,2007,74.55
Belgium,pulpwood,11,EXPORTS,1000 m.t.,2007,1479.71
Belgium,roundwood,14,EXPORTS,1000 m3,2007,4065.25
Belgium,sawnwood,16,EXPORTS,1000 m3,2007,5585.05
Belgium,wood fuel,21,EXPORTS,1000 m3,2007,6.58
Bosnia and Herzegovina,pulpwood,11,EXPORTS,1000 m.t.,2007,0.05
Bosnia and Herzegovina,roundwood,14,EXPORTS,1000 m3,2007,792.54
Bosnia and Herzegovina,sawnwood,16,EXPORTS,1000 m3,2007,1977.22
Bosnia and Herzegovina,wood fuel,21,EXPORTS,1000 m3,2007,289.8
Bulgaria,pulpwood,11,EXPORTS,1000 m.t.,2007,44.94
Bulgaria,roundwood,14,EXPORTS,1000 m3,2007,3692.02
Bulgaria,sawnwood,16,EXPORTS,1000 m3,2007,762.77
Bulgaria,wood fuel,21,EXPORTS,1000 m3,2007,104.21
Canada,pulpwood,11,EXPORTS,1000 m.t.,2007,10619.0
Canada,roundwood,14,EXPORTS,1000 m3,2007,17887.52
Canada,sawnwood,16,EXPORTS,1000 m3,2007,96761.88
Canada,wood fuel,21,EXPORTS,1000 m3,2007,259.37
Croatia,pulpwood,11,EXPORTS,1000 m.t.,2007,47.0
Croatia,roundwood,14,EXPORTS,1000 m3,2007,2726.0
Croatia,sawnwood,16,EXPORTS,1000 m3,2007,1887.0
Croatia,wood fuel,21,EXPORTS,1000 m3,2007,314.0
Cyprus,pulpwood,11,EXPORTS,1000 m.t.,2007,0.0
Cyprus,roundwood,14,EXPORTS,1000 m3,2007,0.0
Cyprus,sawnwood,16,EXPORTS,1000 m3,2007,0.0
Cyprus,wood fuel,21,EXPORTS,1000 m3,2007,0.0
Czechia,pulpwood,11,EXPORTS,1000 m.t.,2007,366.02
Czechia,roundwood,14,EXPORTS,1000 m3,2007,12047.07
Czechia,sawnwood,16,EXPORTS,1000 m3,2007,5843.38
Czechia,wood fuel,21,EXPORTS,1000 m3,2007,127.0
Denmark,pulpwood,11,EXPORTS,1000 m.t.,2007,26.87
Denmark,roundwood,14,EXPORTS,1000 m3,2007,4316.32
Denmark,sawnwood,16,EXPORTS,1000 m3,2007,1129.81
Denmark,wood fuel,21,EXPORTS,1000 m3,2007,32.63
Estonia,pulpwood,11,EXPORTS,1000 m.t.,2007,126.37
Estonia,roundwood,14,EXPORTS,1000 m3,2007,7517.43
Estonia,sawnwood,16,EXPORTS,1000 m3,2007,2065.33
Estonia,wood fuel,21,EXPORTS,1000 m3,2007,41.31
Finland,pulpwood,11,EXPORTS,1000 m.t.,2007,2551.64
Finland,roundwood,14,EXPORTS,1000 m3,2007,3241.68
Finland,sawnwood,16,EXPORTS,1000 m3,2007,21225.079999999998
Finland,wood fuel,21,EXPORTS,1000 m3,2007,9.3
