country_id,year,EXPORTS,IMPORTS,difference
Albania,2007,16048.419999999998,51361.659999999996,-35313.24
Albania,2008,16048.419999999998,83952.34,-67903.92
Albania,2009,15717.55,87309.34,-71591.79
Albania,2010,15445.119999999999,84114.91,-68669.79000000001
Albania,2011,120511.43,580019.78,-459508.35000000003
Albania,2012,104873.0,489760.81999999995,-384887.81999999995
Albania,2013,91114.28,469119.51,-378005.23
Albania,2014,92811.01,472841.36000000004,-380030.35000000003
Albania,2015,93838.01,472857.36000000004,-379019.35000000003
Albania,2016,93338.01,472902.36000000004,-379564.35000000003
Albania,2017,103995.61,394409.69,-290414.08
Albania,2018,138158.61000000002,560013.05,-421854.44000000006
Albania,2019,134116.2,576907.47,-442791.26999999996
Albania,2020,68960.06999999999,567635.39,-498675.32
Albania,2021,129043.98,842028.0900000001,-712984.1100000001
Armenia,2007,13657.0,279611.18000000005,-265954.18000000005
Armenia,2008,6797.92,363642.55,-356844.63
Armenia,2009,6269.14,404074.22000000003,-397805.08
Armenia,2010,4669.93,382234.42,-377564.49
Armenia,2011,4356.12,472564.93,-468208.81
Armenia,2012,4376.08,487203.24000000005,-482827.16000000003
Armenia,2013,18133.3,391851.93,-373718.63
Armenia,2014,8684.029999999999,498647.98,-489963.94999999995
Armenia,2015,9179.46,333584.31,-324404.85
Armenia,2016,7515.24,332849.07999999996,-325333.83999999997
Armenia,2017,10749.53,416049.63,-405300.1
Armenia,2018,11190.689999999999,504770.55000000005,-493579.86000000004
Armenia,2019,9635.68,545443.3400000001,-535807.66
Armenia,2020,21673.420000000002,470190.46,-448517.04000000004
Armenia,2021,10904.58,526483.0,-515578.42
Austria,2007,37809568.96,24374214.25,13435354.71
Austria,2008,39378485.68,25591133.44,13787352.239999998
Austria,2009,31096426.45,21998422.37,9098004.079999998
Austria,2010,32990140.76,23481851.71,9508289.05
Austria,2011,36428375.45,26184647.19,10243728.260000002
Austria,2012,33083449.130000003,24166944.560000002,8916504.57
Austria,2013,32454204.92,22591903.4,9862301.520000003
Austria,2014,33334210.330000002,22725725.96,10608484.370000001
Austria,2015,28536006.26,19339792.41,9196213.850000001
Austria,2016,29146088.86,19856881.57,9289207.29
Austria,2017,30948293.18,21138577.93,9809715.25
Austria,2018,34017991.65,22763932.21,11254059.439999998
Austria,2019,31588074.96,20560376.22,11027698.740000002
Austria,2020,29468744.75,20027311.03,9441433.719999999
Austria,2021,38441981.7,25238926.97,13203054.730000004
Azerbaijan,2007,27244.23,453507.72,-426263.49
Azerbaijan,2008,26039.92,626705.3400000001,-600665.42
Azerbaijan,2009,19898.11,576307.72,-556409.61
Azerbaijan,2010,16816.89,805465.2899999999,-788648.3999999999
Azerbaijan,2011,37123.55,1123235.72,-1086112.17
Azerbaijan,2012,30497.52,1094689.53,-1064192.01
Azerbaijan,2013,35065.53,1063602.54,-1028537.01
Azerbaijan,2014,35065.53,1063602.54,-1028537.01
Azerbaijan,2015,14084.1,903090.54,-889006.4400000001
Azerbaijan,2016,20988.1,1072497.42,-1051509.3199999998
Azerbaijan,2017,21273.5,1121512.42,-1100238.92
Azerbaijan,2018,10155.69,1366012.9100000001,-1355857.2200000002
Azerbaijan,2019,10244.960000000001,1441989.42,-1431744.46
Azerbaijan,2020,16436.57,1251155.83,-1234719.26
Azerbaijan,2021,16436.56,1251155.83,-1234719.27
Belarus,2007,1521459.74,1015647.25,505812.49
Belarus,2008,1378724.74,1015647.25,363077.49
Belarus,2009,2211131.0,2273006.5,-61875.5
Belarus,2010,2565206.73,2712700.06,-147493.33000000007
Belarus,2011,2913119.68,2424719.77,488399.91000000015
Belarus,2012,2899775.39,2458257.05,441518.3400000003
Belarus,2013,3225437.09,2188216.55,1037220.54
Belarus,2014,3674265.0100000002,2374901.55,1299363.4600000004
Belarus,2015,3050778.17,1644202.68,1406575.49
Belarus,2016,3690604.08,1737347.43,1953256.6500000001
Belarus,2017,4880201.18,2091989.33,2788211.8499999996
Belarus,2018,5689057.81,2378793.36,3310264.4499999997
Belarus,2019,6254610.34,2448033.3,3806577.04
Belarus,2020,6796236.46,2274136.09,4522100.37
Belarus,2021,7827637.71,2465803.19,5361834.52
Belgium,2007,36476357.93,39070915.23,-2594557.299999997
Belgium,2008,37986093.989999995,39278684.379999995,-1292590.3900000006
Belgium,2009,29795028.96,32942575.98,-3147547.0199999996
Belgium,2010,31670851.72,34734976.379999995,-3064124.6599999964
Belgium,2011,33007469.49,37371640.6,-4364171.110000003
Belgium,2012,25465283.71,33667619.07,-8202335.359999999
Belgium,2013,23125012.25,30886313.46,-7761301.210000001
Belgium,2014,27947393.88,31846794.37,-3899400.490000002
Belgium,2015,24763372.009999998,26379849.03,-1616477.0200000033
Belgium,2016,24552089.56,26334431.27,-1782341.710000001
Belgium,2017,27250587.959999997,27987578.92,-736990.9600000046
Belgium,2018,28311404.11,30387392.089999996,-2075987.9799999967
Belgium,2019,26958256.96,28759078.21,-1800821.25
Belgium,2020,15392315.12,19749900.99,-4357585.869999999
Belgium,2021,21121790.79,25197624.04,-4075833.25
Bosnia and Herzegovina,2007,1063341.18,936321.8099999999,127019.37
Bosnia and Herzegovina,2008,1552442.47,1454123.6199999999,98318.8500000001
Bosnia and Herzegovina,2009,1336723.77,1145315.37,191408.3999999999
Bosnia and Herzegovina,2010,1492725.24,1153752.98,338972.26
Bosnia and Herzegovina,2011,1645008.25,1273674.58,371333.6699999999
Bosnia and Herzegovina,2012,1471968.6700000002,975120.74,496847.93000000017
Bosnia and Herzegovina,2013,1823184.51,1074844.45,748340.06
Bosnia and Herzegovina,2014,1958349.99,1222116.79,736233.2
Bosnia and Herzegovina,2015,1613083.91,1028458.5700000001,584625.3399999999
Bosnia and Herzegovina,2016,1877875.46,1146332.95,731542.51
Bosnia and Herzegovina,2017,2313565.6799999997,1250520.6600000001,1063045.0199999996
Bosnia and Herzegovina,2018,2578467.39,1469597.7,1108869.6900000002
Bosnia and Herzegovina,2019,1951827.08,1388214.8699999999,563612.2100000002
Bosnia and Herzegovina,2020,1974294.39,1280926.05,693368.3399999999
Bosnia and Herzegovina,2021,2772419.47,1670082.93,1102336.5400000003
Bulgaria,2007,1766621.96,2532514.42,-765892.46
Bulgaria,2008,1675931.26,2965902.85,-1289971.59
Bulgaria,2009,1110110.18,2060379.1300000001,-950268.9500000002
Bulgaria,2010,1720965.04,2070087.1600000001,-349122.1200000001
Bulgaria,2011,2156277.87,2345707.6999999997,-189429.8299999996
Bulgaria,2012,2120586.41,2200139.81,-79553.3999999999
Bulgaria,2013,2304291.97,2232991.9,71300.0700000003
Bulgaria,2014,2566745.22,2311051.2399999998,255693.98000000045
Bulgaria,2015,2146325.65,2045982.71,100342.93999999994
Bulgaria,2016,2165300.84,2089224.68,76076.15999999992
Bulgaria,2017,2354229.39,2170415.6,183813.79000000004
Bulgaria,2018,2559591.38,2590246.68,-30655.30000000028
Bulgaria,2019,2431220.9699999997,2563713.9,-132492.93000000017
Bulgaria,2020,2361596.54,2424249.14,-62652.60000000009
Bulgaria,2021,3054138.16,3117379.42,-63241.25999999978
Canada,2007,105135262.86,37874752.11,67260510.75
Canada,2008,98106805.49,41181426.39,56925379.099999994
Canada,2009,73481659.46000001,34268575.03,39213084.43000001
Canada,2010,95277111.72,38887408.22,56389703.5
Canada,2011,100683591.61,39290196.11,61393395.5
Canada,2012,84766612.96000001,32809386.32,51957226.64000001
Canada,2013,93233721.77,33144888.1,60088833.669999994
Canada,2014,93236000.52000001,33233826.330000002,60002174.19000001
Canada,2015,85809608.81,31314153.52,54495455.29000001
Canada,2016,85493034.43,30598777.060000002,54894257.370000005
Canada,2017,89312222.41999999,31363846.96,57948375.459999986
Canada,2018,91380052.81,31903847.75,59476205.06
Canada,2019,77613236.39,30932530.8,46680705.59
Canada,2020,73803350.31,29231438.64,44571911.67
Canada,2021,104446988.48,35840681.940000005,68606306.53999999
Croatia,2007,2614895.98,3612319.14,-997423.1600000001
Croatia,2008,2736631.0,3659681.14,-923050.1400000001
Croatia,2009,2218103.0,2775269.3,-557166.2999999998
Croatia,2010,2416436.0,2419732.1,-3296.100000000093
Croatia,2011,2779801.0,2759990.9,19810.100000000093
Croatia,2012,2438167.58,2273921.56,164246.02000000002
Croatia,2013,2837714.31,2386661.51,451052.8000000003
Croatia,2014,3265324.35,2655532.7800000003,609791.5699999998
Croatia,2015,2968616.67,2484228.81,484387.85999999987
Croatia,2016,3120255.7199999997,2475007.3600000003,645248.3599999994
Croatia,2017,3617967.17,2935013.7600000002,682953.4099999997
Croatia,2018,3750554.19,3371554.0,379000.18999999994
Croatia,2019,3601276.87,3382814.95,218461.91999999993
Croatia,2020,3619482.68,3140535.6399999997,478947.0400000005
Croatia,2021,4589099.03,3783390.9,805708.1300000004
Cyprus,2007,47381.48,1354765.1600000001,-1307383.6800000002
Cyprus,2008,45882.75,1439679.28,-1393796.53
Cyprus,2009,47229.02,1060820.28,-1013591.26
Cyprus,2010,58072.18,1059755.1700000002,-1001682.9900000001
Cyprus,2011,47817.83,1016917.75,-969099.92
Cyprus,2012,39550.98,728933.7,-689382.72
Cyprus,2013,19066.59,569692.61,-550626.02
Cyprus,2014,15152.36,587793.77,-572641.41
Cyprus,2015,16469.73,495062.86000000004,-478593.13000000006
Cyprus,2016,16642.14,557563.07,-540920.9299999999
Cyprus,2017,15710.3,610135.64,-594425.34
Cyprus,2018,17275.58,731765.0,-714489.42
